Date,BMY,HSIC,HRB,GE,INCY
2016/1/4,59.41606522,60.88627625,27.89491272,26.28667068,103.3199997
2016/1/5,60.58612442,61.09411621,28.14888382,26.31234741,103.8000031
2016/1/6,59.52244186,60.47451019,27.94570732,25.89292908,102.2600021
2016/1/7,57.87371826,59.4784317,27.70020103,24.7972908,95.76000214
2016/1/8,56.40226746,58.93333435,27.33616638,24.35219574,94.77999878
2016/1/11,55.82610321,57.40392303,27.42082596,24.46346855,92.19000244
2016/1/12,56.23385239,57.4313736,27.36156464,24.51482582,88.08999634
2016/1/13,54.31921387,56.73333359,26.70969582,24.17244148,78.41999817
2016/1/14,56.29589462,57.49411774,27.37003517,24.87433052,80.98000336
2016/1/15,55.64882660000001,57.53725433,26.98060799,24.38642883,76.94999695
2016/1/19,56.02997208,58.17647171,27.02292824,24.38642883,73.30999756
2016/1/20,56.33135223,57.42353058,27.200712199999998,23.96700859,74.25
2016/1/21,55.95906067,56.52548981,27.31076813,24.47202492,73.77999878
2016/1/22,57.08480835,57.4784317,27.67479706,24.17244148,79.40000153
2016/1/25,55.772918700000005,56.74509811,27.488553999999997,24.00124168,78.30999756
2016/1/26,55.56903839,58.37647247,27.79332542,24.23235893,76.04000092
2016/1/27,54.70036697,57.83921432,27.70866394,23.96700859,74.98999786
2016/1/28,54.21284485,57.45098114,27.928779600000002,24.14675522,67.80999756
2016/1/29,55.09924698,59.388237,28.82615089,24.90857506,70.55999756
2016/2/1,53.91145706,60.32156754,29.18172073,24.51482582,72.58000183
2016/2/2,52.182956700000005,59.16078568,28.82615089,24.17244148,68.94000244
2016/2/3,53.29097748,59.08627319,28.84308815,24.54050446,69.16999817
2016/2/4,52.91867447,58.86666489,29.308710100000003,24.97704697,72.02999878
2016/2/5,52.85663223,57.98823547,29.61347389,24.42922783,71.0
2016/2/8,53.82282257,57.38039398,29.2071228,24.11252403,70.91000366
2016/2/9,54.08873749,57.89019775,28.93620872,24.20667648,72.26000214
2016/2/10,54.14192963,61.47058868,28.80075645,24.22379875,72.30999756
2016/2/11,52.75912857,61.92549133,28.07269669,23.49622536,65.51000214
2016/2/12,53.361892700000006,62.349018099999995,28.54677963,24.18955803,68.36000061
2016/2/16,55.11697388,63.47451019,29.28330803,24.70313644,71.66999817
2016/2/17,56.65932846,64.31764984,29.359504700000002,25.11399651,74.44999695
2016/2/18,56.12748337,64.11372375,28.95314789,24.89144707,71.01999664
2016/2/19,56.55295563,65.19215393,28.74995995,24.84009171,72.69999695
2016/2/22,56.46432495,65.47058868,28.80922127,25.17392159,73.90000153
2016/2/23,55.01947784,65.32549286,28.48752213,25.01128387,72.01000214
2016/2/24,55.16128922,65.76470947,28.35207367,24.78873444,74.31999969
2016/2/25,55.87042236,66.41176605,28.53831673,25.22821999,74.27999878
2016/2/26,55.17902374,65.69803619,28.55524635,25.37494659,74.33999634
2016/2/29,54.8953743,64.88235474,27.83565331,25.15054131,73.5
2016/3/1,56.92525101,66.72940826,27.77639008,25.78923035,75.05000305
2016/3/2,57.52801514,66.24705505,27.5901413,26.04816246,73.59999847
2016/3/3,57.61664963,65.76470947,27.85258102,26.08268166,72.55999756
2016/3/4,57.35958862,65.87059021,23.50115013,26.28982735,71.98999786
2016/3/7,58.93740463,65.53725433,23.79744911,26.14310265,73.29000092
2016/3/8,58.73352432,65.69019318,23.60273552,25.944585800000002,71.16999817
2016/3/9,58.09532166,65.62352753,23.20484161,25.93595314,68.84999847
2016/3/10,57.56347275,65.94509888,23.76358795,25.84101677,68.65000153
