Date,BMY,HSIC,HRB,GE,INCY
2016/1/5,0.0003878000817075718,1.1652504321816602e-05,8.289313907048386e-05,9.541315572275284e-07,2.158339877109386e-05
2016/1/6,0.00030823200588283315,0.00010285667570820352,5.2098424768370266e-05,0.0002540830090851115,0.0002201138006564207
2016/1/7,0.0007672452882801258,0.0002712953840242397,7.717826910118075e-05,0.0017904905421766062,0.004040313953039698
2016/1/8,0.0006464407409997397,8.399029834947117e-05,0.00017271084323042328,0.0003221788880154791,0.00010473379375385205
2016/1/11,0.00010435169020144018,0.0006734829006802532,9.591289526220239e-06,2.0878623328432024e-05,0.0007467322415246904
2016/1/12,5.334719195647855e-05,2.2867547336996715e-07,4.670695737607774e-06,4.4072510795832155e-06,0.001977886438871458
2016/1/13,0.0011592521527496206,0.0001477277982386116,0.0005675949988624111,0.00019506087208719602,0.012050348302319767
2016/1/14,0.0013242382060998609,0.00017982344193420794,0.0006112184729553036,0.0008431326099688939,0.0010656829951306605
2016/1/15,0.0001321132639854803,5.629175556913941e-07,0.00020244255439828344,0.0003847351299824366,0.0024766001388081956
2016/1/19,4.691044200697631e-05,0.00012342379114459954,2.4603278639138604e-06,0.0,0.0022376152222464115
2016/1/20,2.8932667580868153e-05,0.00016750481122237718,4.328329704889415e-05,0.0002958028512358426,0.00016441125775505273
2016/1/21,4.3678330310774044e-05,0.00024457514833463767,1.6370665900763818e-05,0.00044400021453433247,4.006868175383259e-05
2016/1/22,0.00040470753434878167,0.0002842131500120616,0.00017766585413994999,0.0001498634734336942,0.005802241069264632
2016/1/25,0.0005281454185848377,0.00016277711105925442,4.5288851500072855e-05,5.0160917422808336e-05,0.00018845824299805152
2016/1/26,1.33629956023159e-05,0.0008265146619680653,0.0001229262652772418,9.27250983149275e-05,0.0008402644850112682
2016/1/27,0.00024436854514364487,8.470134918494643e-05,9.278775940501381e-06,0.00011990793134418758,0.0001906763818987143
2016/1/28,7.943431797416458e-05,4.505474422946514e-05,6.310600851654272e-05,5.624628594009678e-05,0.009167316854909718
2016/1/29,0.00026733584047671037,0.0011370487018611127,0.0010323820005407535,0.0009953756178221103,0.0016446668171114537
2016/2/1,0.0004647163406099124,0.0002469847209856941,0.00015215159920087653,0.0002498858645332133,0.0008195726568854969
2016/2/2,0.0010279614052667008,0.0003703019403055371,0.00014846635242582524,0.00019506087208719602,0.002515177689935041
2016/2/3,0.00045085661410383546,1.5863181276255594e-06,3.452335526723787e-07,0.00023184793977696952,1.1130045953814774e-05
2016/2/4,4.88074055226818e-05,1.3814154338453464e-05,0.0002606053793800438,0.00031643616354493396,0.0017096087153653198
