Date,MMC,FIS,CTXS,AJG,ARE
2016/4/20,57.797161100000004,63.22823715,62.82338715,40.7309494,81.86302185
2016/4/21,57.13631058,62.07689667,65.56195068,40.17434311,81.04447174
2016/4/22,57.08124161,62.07689667,64.68030548,40.42570877,82.47692871
2016/4/25,56.98945236,62.51460266,64.59449005,40.31798553,82.93067932
2016/4/26,57.40248108,62.8000412,64.90656281,40.461639399999996,83.1709137
2016/4/27,57.11795044,63.18065262,65.46053314,40.52447128,83.39333344
2016/4/28,57.65029907,62.48604584,64.01712799,39.887069700000005,83.49120331
2016/4/29,57.96237946,62.60975647,63.85328293,41.33245087,82.69936371
2016/5/2,58.42130279999999,63.92284775,64.50086212,42.10451508,83.77591705
2016/5/3,58.32950211,67.83358002,62.95602036,41.64666367,83.35774231
2016/5/4,58.15511322,67.60521698,62.57371139999999,42.24816132,84.87916565
2016/5/5,58.23773575,66.97721863,62.62052155,42.26611328,85.06601715
2016/5/6,58.02662277,67.79551697,63.38513947,42.15836716,85.10160065
2016/5/9,58.210186,68.24272919,63.51777649,42.11348724,85.82226563
2016/5/10,59.10050583,70.2694397,65.11723328,42.85861969,85.43968201
2016/5/11,58.65076065,69.86981964,64.47744751,42.31997299,83.6157608
2016/5/12,59.08216476,68.29029083,64.70372009,42.63418961,83.38444519
2016/5/13,58.69665909,68.80411529999999,64.16537476,42.31099319,84.38983154
2016/5/16,59.15558243,69.260849,64.75052643,42.56236267,85.68880463
2016/5/17,58.77925491,68.63285065,64.21218109,42.36485291,84.38093567
2016/5/18,59.19229507,68.88022614,64.55545807,42.70599747,83.89159393
2016/5/19,58.90776062,69.08956146,64.16537476,42.75088882,83.21537781
2016/5/20,58.92612076,69.44161987,64.92218018,42.89452744,85.08379364
2016/5/23,59.17393112,69.02296448,65.28887939,42.73293304,85.16387177
2016/5/24,60.14686584,70.32655334,67.01316071,43.20874405,87.19244385
2016/5/25,60.24782181,70.10769653,64.86756134,43.21772003,87.42376709
2016/5/26,60.18357849,70.44071198,66.20953369,43.10101318,85.83117676
2016/5/27,60.51400757,70.80230713,66.70888519,43.271595,85.92902374
2016/5/31,60.64250946,70.66909027,66.25634766,43.38829803,86.21374512
2016/6/1,60.73428345,71.09729004,66.95075226,43.34305573,85.83117676
2016/6/2,60.98210526,71.72525787,67.48130035,43.65975952,86.56072235
2016/6/3,60.73428345,71.35418701,66.54503632,43.30685425,86.88992309999999
2016/6/6,60.85361099,71.63011932,67.18482208,43.27065659,85.86676025
2016/6/7,61.12895584,71.79187775,68.10548401,43.32495117,85.89344025
2016/6/8,61.11060715,71.72525787,68.79988098,43.36116028,86.38279724
2016/6/9,61.15649796,71.49691772,68.40976715,43.7592926,87.33479309
2016/6/10,60.89949036,70.73570251,67.11460114,43.4606781,87.72625732
