,MMC,FIS,CTXS,AJG,ARE
0,0.04595047148806952,0.04293029001331572,0.14605322359798756,0.06023767411007064,0.18016299969441962
1,0.05338841506294967,0.047145556148797785,0.138437488242662,0.06191106425079773,0.19285507661127466
2,0.04247922273852367,0.03483237049845589,0.14384230246170648,0.05004582947899561,0.1865605949407556
3,0.03570261498263949,0.03494321160378999,0.10625400053349487,0.037572427520831564,0.1559145236043218
4,0.023305834088922284,0.023184633258169884,0.09089935043814334,0.03133579170842049,0.14363507955656485
5,0.010578454850317609,0.0321699067598733,0.08094957470348474,0.021600350152392922,0.13259415909650718
6,0.018677734062087614,0.04381768860314228,0.10453435511084397,0.02494699992946403,0.12268855936541712
7,0.011405055059452218,0.03416674332526337,0.06129572107519188,0.011560857329958152,0.09936837342343285
8,0.03355362102974191,0.047256620503183355,0.06264690963390052,0.022208843685232793,0.09658225325231251
9,0.011074317767450048,0.026845202648827726,0.049380481950999866,0.0208398961530204,0.08781152795263014
10,0.010082730880299762,0.0296184627726932,0.046555345968103734,0.014450843365298227,0.08997852013725771
11,0.0,0.020522124916604212,0.05183716106995384,0.008670545119181416,0.04952906993341555
12,0.0009978389609893723,0.022297100742325937,0.038570913497120385,0.007757935153263618,0.049219818488879796
13,0.017626752109252575,0.03782744675900662,0.06338394348764265,0.021448259352518484,0.06861856353077633
14,0.0056539345550919995,0.031171577741678336,0.046309527843782394,0.00973544172706875,0.060054333231473245
15,0.011640273949668156,0.044372474671000806,0.07259668536855923,0.01688481800978059,0.07243671228921711
16,0.006485397731132325,0.03072790086532473,0.04446700358723399,0.0126255580957505,0.063665808306689
17,0.009478358825642075,0.024071942524962364,0.07652743219499736,0.0,0.062014919698636706
18,0.03492096061401273,0.04093349805090862,0.10048078943471772,0.021296168552643935,0.07769925465533079
19,0.033922982705908766,0.05136100081328021,0.10588554366955272,0.024186284921325685,0.06707096706437121
20,0.018624313176012763,0.038603870317482025,0.04901196510284822,0.01901434987470707,0.047568840480896823
21,0.026772636895012747,0.04004605485809898,0.07136825583276818,0.03498655791856975,0.04694971261141967
22,0.04888896968419787,0.04559257510582981,0.05969877453381012,0.03711608995453719,0.0542758658546143
23,0.05687105638325707,0.02773269056168859,0.020513766315932602,0.031640038474840315,0.050561277086566214
24,0.06269136708751089,0.0,0.01093250742942542,0.02951037593449002,0.030543046926516437
25,0.06734711540488014,0.020965980556094554,0.0006142148466150577,0.024034194121451358,0.004643235813790891
26,0.07117188695216359,0.015086624420275863,0.0,0.026772415532353544,0.012382289774828803
27,0.06185969558185189,0.004437082272167547,0.0012283695515817872,0.024034194121451358,0.0
28,0.08065052385414118,0.016972351911229255,0.024935908824419872,0.03422597341481437,0.0020636107600653375
